LAB Distance (μm),LAB Intensity (cnts),Matt Distance (μm),Matt Intensity (cnts)
1483.38,93.0
1487.07,77.0
1490.76,78.0
1494.45,97.0
1498.14,93.0
1501.83,100.0
1505.52,87.0
1509.21,91.0
1512.9,89.0
1516.59,118.0
1520.28,152.0
1523.97,148.0
1527.66,137.0
1531.35,101.0
1535.04,146.0
1538.73,289.0
1542.42,614.0
1546.11,1043.0
1549.8,1453.0
1553.49,1639.0
1557.18,1605.0
1560.87,1336.0
1564.56,883.0
1568.25,508.0
1571.94,213.0
1575.63,99.0
1579.32,101.0
1583.01,129.0
1586.7,163.0
1590.39,132.0
1594.08,104.0
1597.77,81.0
1601.46,81.0
1605.15,94.0
1608.84,106.0
1612.53,100.0
1616.22,84.0
1619.91,80.0
1623.6,85.0
1627.29,81.0
1630.98,88.0
1634.67,85.0
1638.36,81.0
1642.05,82.0
1645.74,84.0
1649.43,85.0
1653.12,81.0
1656.81,83.0
1660.5,85.0
1664.19,81.0
1667.88,87.0
1671.57,81.0
1675.26,81.0
1678.95,87.0
1682.64,82.0
1686.33,78.0
1690.02,77.0
1693.71,85.0
1697.4,85.0
1701.09,85.0
1704.78,84.0
1708.47,77.0
1712.16,81.0
1715.85,80.0
1719.54,81.0
1723.23,80.0
1726.92,81.0
1730.61,83.0
1734.3,78.0
1737.99,88.0
1741.68,84.0
1745.37,83.0
1749.06,78.0
1752.75,86.0
1756.44,81.0
1760.13,79.0
1763.82,84.0
1767.51,81.0
1771.2,87.0
1774.89,82.0
1778.58,84.0
1782.27,86.0
1785.96,75.0
1789.65,78.0
1793.34,78.0
1797.03,79.0
1800.72,83.0
1804.41,80.0
1808.1,76.0
1811.79,82.0
1815.48,80.0
1819.17,76.0
1822.86,81.0
1826.55,77.0
1830.24,86.0
1833.93,83.0
1837.62,76.0
1841.31,78.0
1845.0,76.0
1848.69,84.0
1852.38,85.0
1856.07,83.0
1859.76,79.0
1863.45,80.0
1867.14,77.0
1870.83,76.0
1874.52,85.0
1878.21,73.0
1881.9,79.0
1885.59,76.0
1889.28,76.0
1892.97,83.0
1896.66,79.0
1900.35,85.0
1904.04,82.0
1907.73,81.0
1911.42,72.0
1915.11,79.0
1918.8,75.0
1922.49,78.0
1926.18,82.0
1929.87,76.0
1933.56,76.0
1937.25,76.0
1940.94,82.0
1944.63,85.0
1948.32,77.0
1952.01,80.0
1955.7,77.0
1959.39,74.0
1963.08,78.0
1966.77,77.0
1970.46,80.0
1974.15,75.0
1977.84,79.0
1981.53,77.0
1985.22,81.0
1988.91,78.0
1992.6,77.0
1996.29,78.0
1999.98,82.0
2003.67,84.0
2007.36,77.0
2011.05,84.0
2014.74,75.0
2018.43,78.0
2022.12,82.0
2025.81,71.0
2029.5,88.0
2033.19,75.0
2036.88,82.0
2040.57,83.0
2044.26,88.0
2047.95,81.0
2051.64,78.0
2055.33,76.0
2059.02,75.0
2062.71,74.0
2066.4,78.0
2070.09,81.0
2073.78,81.0
2077.47,79.0
2081.16,82.0
2084.85,72.0
2088.54,80.0
2092.23,79.0
2095.92,81.0
2099.61,81.0
2103.3,83.0
2106.99,76.0
2110.68,77.0
2114.37,83.0
2118.06,79.0
2121.75,77.0
2125.44,79.0
2129.13,78.0
2132.82,80.0
2136.51,83.0
2140.2,77.0
2143.89,85.0
2147.58,75.0
2151.27,75.0
2154.96,87.0
2158.65,84.0
2162.34,78.0
2166.03,75.0
2169.72,81.0
2173.41,77.0
2177.1,69.0
2180.79,77.0
2184.48,83.0
2188.17,78.0
2191.86,81.0
2195.55,77.0
2199.24,86.0
2202.93,71.0
2206.62,80.0
2210.31,79.0
2214.0,83.0
2217.69,75.0
2221.38,84.0
2225.07,78.0
2228.76,83.0
2232.45,84.0
2236.14,79.0
2239.83,79.0
2243.52,76.0
2247.21,84.0
2250.9,81.0
2254.59,85.0
2258.28,81.0
2261.97,82.0
2265.66,83.0
2269.35,80.0
2273.04,75.0
2276.73,86.0
2280.42,76.0
2284.11,80.0
2287.8,80.0
2291.49,79.0
2295.18,76.0
2298.87,79.0
2302.56,81.0
2306.25,85.0
2309.94,80.0
2313.63,80.0
2317.32,82.0
2321.01,68.0
2324.7,75.0
2328.39,78.0
2332.08,81.0
2335.77,81.0
2339.46,82.0
2343.15,81.0
2346.84,87.0
2350.53,83.0
2354.22,79.0
2357.91,82.0
2361.6,82.0
2365.29,85.0
2368.98,76.0
2372.67,79.0
2376.36,76.0
2380.05,79.0
2383.74,86.0
2387.43,76.0
2391.12,80.0
2394.81,86.0
2398.5,84.0
2402.19,84.0
2405.88,89.0
2409.57,78.0
2413.26,85.0
2416.95,77.0
2420.64,79.0
2424.33,79.0
2428.02,83.0
2431.71,79.0
2435.4,78.0
2439.09,84.0
2442.78,81.0
2446.47,85.0
2450.16,80.0
2453.85,86.0
2457.54,86.0
