Date/Time,4/13/2021,14:43:14,BEAM_PROFILE_Y
Distance (μm),Intensity (cnts),,
1822.86,81,,
1826.55,77,,
1830.24,86,,
1833.93,83,,
1837.62,76,,
1841.31,78,,
1845,76,,
1848.69,84,,
1852.38,85,,
1856.07,83,,
1859.76,79,,
1863.45,80,,
1867.14,77,,
1870.83,76,,
1874.52,85,,
1878.21,73,,
1881.9,79,,
1885.59,76,,
1889.28,76,,
1892.97,83,,
1896.66,79,,
1900.35,85,,
1904.04,82,,
1907.73,81,,
1911.42,72,,
1915.11,79,,
1918.8,75,,
1922.49,78,,
1926.18,82,,
1929.87,76,,
1933.56,76,,
1937.25,76,,
1940.94,82,,
1944.63,85,,
1948.32,77,,
1952.01,80,,
1955.7,77,,
1959.39,74,,
1963.08,78,,
1966.77,77,,
1970.46,80,,
1974.15,75,,
1977.84,79,,
1981.53,77,,
1985.22,81,,
1988.91,78,,
1992.6,77,,
1996.29,78,,
1999.98,82,,
2003.67,84,,
2007.36,77,,
2011.05,84,,
2014.74,75,,
2018.43,78,,
2022.12,82,,
2025.81,71,,
2029.5,88,,
2033.19,75,,
2036.88,82,,
2040.57,83,,
2044.26,88,,
2047.95,81,,
2051.64,78,,
2055.33,76,,
2059.02,75,,
2062.71,74,,
2066.4,78,,
2070.09,81,,
2073.78,81,,
2077.47,79,,
2081.16,82,,
2084.85,72,,
2088.54,80,,
2092.23,79,,
2095.92,81,,
2099.61,81,,
2103.3,83,,
2106.99,76,,
2110.68,77,,
2114.37,83,,
2118.06,79,,
2121.75,77,,
2125.44,79,,
2129.13,78,,
2132.82,80,,
2136.51,83,,
2140.2,77,,
2143.89,85,,
2147.58,75,,
2151.27,75,,
2154.96,87,,
2158.65,84,,
2162.34,78,,
2166.03,75,,
2169.72,81,,
2173.41,77,,
2177.1,69,,
2180.79,77,,
2184.48,83,,
2188.17,78,,
2191.86,81,,
2195.55,77,,
2199.24,86,,
2202.93,71,,
2206.62,80,,
2210.31,79,,
2214,83,,
2217.69,75,,
2221.38,84,,
2225.07,78,,
2228.76,83,,
2232.45,84,,
2236.14,79,,
2239.83,79,,
2243.52,76,,
2247.21,84,,
2250.9,81,,
2254.59,85,,
2258.28,81,,
2261.97,82,,
2265.66,83,,
2269.35,80,,
2273.04,75,,
2276.73,86,,
2280.42,76,,
2284.11,80,,
2287.8,80,,
2291.49,79,,
2295.18,76,,
2298.87,79,,
2302.56,81,,
2306.25,85,,
2309.94,80,,
2313.63,80,,
2317.32,82,,
2321.01,68,,
2324.7,75,,
2328.39,78,,
2332.08,81,,
2335.77,81,,
2339.46,82,,
2343.15,81,,
2346.84,87,,
2350.53,83,,
2354.22,79,,
2357.91,82,,
2361.6,82,,
2365.29,85,,
2368.98,76,,
2372.67,79,,
2376.36,76,,
